rec,id,ecl_time,line
rec_031,0461-0123,2025-12-12 01:10:00 +01,BL-80930
rec_031,0435-0862,2025-12-12 02:50:00 +01,BL-80930
rec_031,0850-2097,2025-12-12 22:10:00 +01,BL-80930
rec_031,0510-0647,2025-12-11 04:40:00 +01,BL-80930
rec_031,1060-1341,2025-12-12 10:00:00 +01,BL-80930
rec_031,0384-1245,2025-12-11 11:30:00 +01,BL-80930
rec_031,1014-1989,2025-12-12 20:00:00 +01,BL-80930
rec_031,1020-0698,NA,BL-80930
rec_031,0990-2084,2025-12-13 07:40:00 +01,BL-80930
rec_031,0526-0545,2025-12-11 07:30:00 +01,BL-80930
rec_031,0371-2044,2025-12-11 14:40:00 +01,BL-80930
rec_031,0997-0245,2025-12-13 14:50:00 +01,BL-80930
rec_031,0956-0184,2025-12-11 12:50:00 +01,BL-80930
rec_031,1039-0198,2025-12-12 23:20:00 +01,BL-80930
rec_031,0246-0144,2025-12-12 00:10:00 +01,BL-80930
rec_031,1012-0253,2025-12-12 04:10:00 +01,BL-80930
rec_031,0450-1907,2025-12-11 15:50:00 +01,BL-80930
rec_031,1087-1065,NA,BL-80930
rec_031,0497-0327,2025-12-12 08:10:00 +01,BL-80930
rec_031,0487-0606,2025-12-12 08:30:00 +01,BL-80930
rec_031,0876-0692,2025-12-13 03:20:00 +01,BL-80930
rec_031,0916-1686,2025-12-11 06:50:00 +01,BL-80930
rec_031,0512-1879,2025-12-11 05:50:00 +01,BL-80930
rec_031,0962-0774,2025-12-11 11:40:00 +01,BL-80930
rec_031,0535-0527,2025-12-11 14:00:00 +01,BL-80930
rec_031,1047-1696,2025-12-12 21:30:00 +01,BL-80930
rec_031,0286-1902,2025-12-11 18:40:00 +01,BL-80930
rec_031,1081-1597,2025-12-10 21:00:00 +01,BL-80930
rec_031,0304-1191,2025-12-11 13:30:00 +01,BL-80930
rec_031,0552-0608,2025-12-12 10:10:00 +01,BL-80930
rec_031,0328-2209,2025-12-11 08:50:00 +01,BL-80930
rec_031,0516-0394,2025-12-12 08:40:00 +01,BL-80930
rec_031,0975-0432,2025-12-12 15:40:00 +01,BL-80930
rec_031,0238-0899,2025-12-12 04:20:00 +01,BL-80930
rec_031,0413-1469,2025-12-12 06:00:00 +01,BL-80930
rec_031,0496-2008,2025-12-11 06:10:00 +01,BL-80930
rec_031,0853-0142,2025-12-11 12:20:00 +01,BL-80930
rec_031,0493-1699,2025-12-11 10:00:00 +01,BL-80930
rec_031,0392-1269,2025-12-11 12:50:00 +01,BL-80930
rec_031,0904-2171,2025-12-12 04:50:00 +01,BL-80930
rec_031,0933-1226,2025-12-12 08:50:00 +01,BL-80930
rec_031,0413-0139,2025-12-12 07:20:00 +01,BL-80930
rec_031,0428-1332,2025-12-11 00:40:00 +01,BL-80930
rec_031,0544-1614,2025-12-10 18:50:00 +01,BL-80930
rec_031,0390-2186,2025-12-11 06:10:00 +01,BL-80930
rec_031,0516-1796,2025-12-11 10:00:00 +01,BL-80930
rec_031,1085-0270,NA,BL-80930
rec_031,0430-2113,2025-12-10 22:20:00 +01,BL-80930
rec_031,0515-0353,2025-12-12 19:00:00 +01,BL-80930
rec_031,0471-1692,2025-12-11 04:50:00 +01,BL-80930
rec_031,0881-1728,NA,BL-80930
rec_031,0962-0632,2025-12-11 00:30:00 +01,BL-80930
rec_031,0828-0153,2025-12-11 09:00:00 +01,BL-80930
rec_031,1077-1541,2025-12-12 06:50:00 +01,BL-80930
rec_031,0926-1361,2025-12-12 15:20:00 +01,BL-80930
rec_031,0403-0975,2025-12-10 21:00:00 +01,BL-80930
rec_031,1023-2035,2025-12-11 05:50:00 +01,BL-80930
rec_031,0294-0160,2025-12-12 12:50:00 +01,BL-80930
rec_031,0554-0282,2025-12-11 18:10:00 +01,BL-80930
rec_031,0920-2035,2025-12-11 14:10:00 +01,BL-80930
rec_031,0487-0817,2025-12-11 11:00:00 +01,BL-80930
rec_031,0369-1298,2025-12-11 17:40:00 +01,BL-80930
rec_031,0402-2064,2025-12-11 07:00:00 +01,BL-80930
rec_031,0855-0544,2025-12-11 19:30:00 +01,BL-80930
rec_031,0215-0980,2025-12-11 20:40:00 +01,BL-80930
rec_031,0902-0772,2025-12-11 08:10:00 +01,BL-80930
rec_031,0880-0501,2025-12-13 00:00:00 +01,BL-80930
rec_031,0415-1252,2025-12-11 07:30:00 +01,BL-80930
